steering,fixpoint_odometer_steps,radius,alpha,radian
2241,0,-295.4,-179.99292630448633,927.9899999999999
2793,491,0.0,0.0,699.3
2241,861,-295.4,-179.99292630448633,927.9899999999999
2793,1352,0.0,0.0,699.3
2241,1722,0.0,0.0,0.0
