"board_time";"server_time";"steering";"odometer_speed";"tie";"fixpoint_hall";"fixpoint_odometer_steps";"fixpoint_tie_steps";"fixpoint_time";"wifi";"battery"
"88685972310068";"1705499648183";"2831.0";"314.0";"185.0";"0.0";"1934";"987";"26005";"-56.0";"3799"
"88685972309968";"1705499648083";"2819.0";"314.0";"148.0";"0.0";"1926";"982";"25905";"-58.0";"3799"
"88685972309868";"1705499647983";"2828.0";"314.0";"148.0";"0.0";"1918";"978";"25805";"-56.0";"3783"
"88685972309768";"1705499647899";"2816.0";"314.0";"111.0";"0.0";"1910";"974";"25705";"-56.0";"3783"
"88685972309668";"1705499647801";"2813.0";"274.0";"148.0";"0.0";"1902";"971";"25605";"-60.0";"3783"
"88685972309568";"1705499647711";"2818.0";"314.0";"111.0";"0.0";"1895";"967";"25505";"-56.0";"3787"
"88685972309468";"1705499647696";"2814.0";"314.0";"148.0";"0.0";"1887";"964";"25405";"-57.0";"3792"
"88685972309368";"1705499647485";"2840.0";"274.0";"148.0";"0.0";"1879";"960";"25305";"-55.0";"3798"
"88685972309268";"1705499647403";"2854.0";"314.0";"148.0";"0.0";"1872";"956";"25205";"-55.0";"3793"
"88685972309168";"1705499647388";"2863.0";"274.0";"148.0";"0.0";"1864";"952";"25105";"-53.0";"3798"
"88685972309068";"1705499647183";"2868.0";"274.0";"148.0";"0.0";"1857";"948";"25005";"-50.0";"3801"
"88685972308968";"1705499647083";"2862.0";"314.0";"148.0";"0.0";"1850";"944";"24905";"-51.0";"3786"
"88685972308868";"1705499646990";"2841.0";"274.0";"74.0";"0.0";"1842";"940";"24805";"-51.0";"3787"
"88685972308768";"1705499646915";"2780.0";"274.0";"111.0";"0.0";"1835";"938";"24705";"-53.0";"3798"
"88685972308668";"1705499646877";"2751.0";"314.0";"148.0";"0.0";"1828";"935";"24605";"-51.0";"3790"
"88685972308568";"1705499646740";"2763.0";"314.0";"185.0";"0.0";"1820";"931";"24505";"-50.0";"3795"
"88685972308468";"1705499646672";"2714.0";"274.0";"148.0";"0.0";"1812";"926";"24405";"-50.0";"3797"
"88685972308368";"1705499646482";"2742.0";"314.0";"111.0";"0.0";"1805";"922";"24305";"-51.0";"3808"
"88685972308268";"1705499646382";"2732.0";"314.0";"37.0";"0.0";"1797";"919";"24205";"-50.0";"3795"
"88685972308168";"1705499646284";"2733.0";"314.0";"74.0";"0.0";"1789";"918";"24105";"-50.0";"3797"
"88685972308068";"1705499646262";"2724.0";"274.0";"74.0";"0.0";"1781";"916";"24005";"-51.0";"3785"
"88685972307968";"1705499646080";"2738.0";"314.0";"148.0";"0.0";"1774";"914";"23905";"-51.0";"3804"
"88685972307868";"1705499645981";"2756.0";"314.0";"148.0";"0.0";"1766";"910";"23805";"-52.0";"3792"
"88685972307768";"1705499645882";"2755.0";"314.0";"148.0";"0.0";"1758";"906";"23705";"-52.0";"3784"
"88685972307668";"1705499645852";"2748.0";"274.0";"148.0";"0.0";"1750";"902";"23605";"-54.0";"3793"
"88685972307568";"1705499645683";"2756.0";"314.0";"148.0";"0.0";"1743";"898";"23505";"-51.0";"3786"
"88685972307468";"1705499645662";"2792.0";"274.0";"148.0";"0.0";"1735";"894";"23405";"-50.0";"3807"
"88685972307368";"1705499645648";"2791.0";"274.0";"148.0";"0.0";"1728";"890";"23305";"-51.0";"3806"
