steering,fixpoint_odometer_steps,radius,alpha,rad
2646.0,1013,356.94,2.0225439061602435,12.6
2640.0,1022,360.0,4.010704565915763,25.2
2637.0,1040,359.87,2.0060766995438275,12.6
2637.0,1049,359.87,2.0060766995438275,12.6
2640.0,1058,360.0,1.7825353626292275,11.2
2638.0,1066,360.04,2.0051294907922377,12.6
2621.0,1075,340.81,2.1182677206209832,12.6
2599.0,1084,265.51,2.1147928109231544,9.799999999999999
2577.0,1091,135.8,5.316103253791143,12.6
2567.0,1100,59.58,12.11693222331046,12.6
2566.0,1109,51.38,14.050736120374411,12.6
2566.0,1118,51.38,14.050736120374411,12.6
2567.0,1127,59.58,10.770606420720409,11.2
2567.0,1135,59.58,12.11693222331046,12.6
2569.0,1144,75.67,8.480411398791093,11.2
2563.0,1152,26.15,24.539683768509448,11.2
2566.0,1160,51.38,14.050736120374411,12.6
2562.0,1169,17.54,36.58567448953945,11.2
2567.0,1177,59.58,12.11693222331046,12.6
2564.0,1186,34.67,20.822809975911085,12.6
2566.0,1195,51.38,14.050736120374411,12.6
2564.0,1204,34.67,16.195518870153062,9.799999999999999
2563.0,1211,26.15,21.472223297445765,9.799999999999999
2569.0,1218,75.67,8.480411398791093,11.2
2568.0,1226,67.68,10.666767462541921,12.6
2569.0,1235,75.67,9.540462823639979,12.6
2574.0,1244,114.05,5.626591236707777,11.2
2575.0,1252,121.4,5.946678928046435,12.6
2575.0,1261,121.4,5.946678928046435,12.6
2573.0,1270,106.58,6.773567478559179,12.6
2569.0,1279,75.67,8.480411398791093,11.2
2567.0,1287,0.0,0.0,0.0
